F.endolithicus	F.simplex	H.werneckii
0.182785	0.127057	2.237441
0.907518	0.601163	1.487478
0.059391	0.601163	0.643381
1.108088	0	0.226545
1.637504	0.259138	0.308575
0.279989	0.700837	2.65225
0.688041	0.46269	0.728874
0.246806	0.114182	0.305745
0.594794	1.97149	0.134376
1.031859	0.094125	0.358728
0.822927	1.96669	0.283224
0.648691	0.05964	0.251744
1.019968	2.947756	0.7297
0.208377	3.243294	0.322934
0	0.596518	0
0.383419	0.794993	0.261455
0.592497	0.239004	0.69408
0.190846	2.943276	0.137588
0.256617	2.967329	0.333627
0.198335	1.213116	1.039882
0.392037	0	0.118273
0.140191	0	0.236507
0.610919	0	0.150925
0.369403	0.263374	0.222284
0.184106	0	0.283261
0.209139	0.263374	0.193354
0.304856	0.142679	0.124203
0	1.662394	0
0	2.67195	0
0.184098	1.719013	0.32571
0.430542	3.13541	0.43626
0.196105	0.594905	1.33922
0	0	0
0.415804	1.594135	0.171562
2.892811	1.594135	0.953182
1.947258	1.523232	0.352785
0.155652	1.523232	0
0.747736	0	0.390937
0	0	0.659988
3.575555	0	0.329302
3.944	0	0
0.600201	0.078355	2.122431
0.305973	1.487208	2.128377
0.361517	2.224369	0.846396
0.214775	0.26999	0.391462
2.031735	0	0.388271
0.349828	0.268411	0.371193
0.238123	3.061778	1.088608
0.415072	0.560376	0.433404
0.180227	0.883228	0.236792
2.781856	3.165804	0.367078
2.190875	2.029547	0.677322
0.746786	0.028585	1.640524
0	0	0.744726
0.306351	2.389885	1.821184
2.389492	2.317414	1.821184
0.302839	1.931437	0
3.312074	2.26918	0
0.100364	0.206374	0.351782
0.45577	0.252538	0.089671
0.299908	0.25176	2.865446
0	0	2.647678
0.326917	0.128296	0.19871
0.222458	1.498557	0.236052
0.21375	2.809053	0.331416
0.17841	0.120163	4.117952
0.298698	0	4.113912
0.131447	0.118797	0.509709
0.272307	0.140869	0.720959
0.190693	0	0.621506
0.315061	0.140869	0.363143
0.738424	=-nan	2.458131
0.275349	=-nan	1.716433
0.207518	=-nan	0.616081
0.739894	0.322843	1.716433
0.234492	0.322843	1.207519
0.37065	0	0
0.225639	0.064837	1.207519
0.300962	1.274224	0.580674
0.452871	1.406418	1.699287
0.490152	1.543904	1.355891
0.324939	3.102454	2.324575
0.463081	3.121299	0.42133
0.31065	1.527883	0.416106
