SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
CCFEE5311_010321-T1	CCFEE5311_015316-T1	553	0.273652	2.123195	0.128887	420.799813	137.200187	2.338679	2.185244	273
CCFEE5311_002968-T1	CCFEE5311_010064-T1	3193	0.066636	0.452758	0.147179	1261.992538	415.007462	3.532232	0.486569	561
CCFEE5311_008890-T1	CCFEE5311_011396-T1	7071	0.019031	0.352506	0.053987	2595.049264	836.950736	2.986983	0.301063	1164
CCFEE5311_002847-T1	CCFEE5311_009500-T1	4091	0.036293	0.217535	0.166840	1555.154770	511.845230	3.227946	0.243521	707
CCFEE5311_000465-T1	CCFEE5311_005258-T1	9499	0.032095	0.334151	0.096049	3470.921947	936.078053	2.406524	0.288761	1497
CCFEE5311_000974-T1	CCFEE5311_008184-T1	7032	0.034765	0.122179	0.284542	2606.891131	999.108869	2.531375	0.176955	1414
CCFEE5311_001754-T1	CCFEE5311_005116-T1	6633	0.042467	0.193946	0.218963	2367.828514	920.171486	3.866294	0.254579	1096
CCFEE5311_005280-T1	CCFEE5311_007351-T1	7488	0.046221	0.350660	0.131812	2810.500517	933.499483	3.828574	0.366382	1269
CCFEE5311_002845-T1	CCFEE5311_009497-T1	6935	0.059278	0.297674	0.199137	2455.233972	1084.766028	4.044615	0.396989	1222
CCFEE5311_006165-T1	CCFEE5311_009676-T1	6655	0.019886	0.316133	0.062903	2573.762869	612.237131	2.564752	0.230442	1112
CCFEE5311_008217-T1	CCFEE5311_016998-T1	11860	0.011193	0.399503	0.028017	4396.170383	1129.829617	2.000840	0.271757	1864
CCFEE5311_003098-T1	CCFEE5311_010388-T1	11762	0.009532	0.452279	0.021075	4329.259226	1088.740774	2.238563	0.295505	1812
CCFEE5311_008001-T1	CCFEE5311_011258-T1	11196	0.011428	0.301761	0.037870	4188.806735	1196.193265	2.146560	0.227762	1810
CCFEE5311_003083-T1	CCFEE5311_015406-T1	9449	0.017112	0.209914	0.081519	3281.686446	1218.313554	2.880349	0.207931	1532
CCFEE5311_007241-T1	CCFEE5311_013602-T1	5565	0.013226	0.152850	0.086529	1909.551925	637.448075	4.010282	0.144510	849
CCFEE5311_010432-T1	CCFEE5311_011773-T1	3789	0.027270	0.271804	0.100329	1351.398491	448.601509	2.579479	0.264639	603
CCFEE5311_010800-T1	CCFEE5311_012889-T1	681	0.098856	0.626894	0.157692	385.346307	139.653693	2.159351	0.717954	360
CCFEE5311_011716-T1	CCFEE5311_015722-T1	3432	0.053282	0.405974	0.131244	1195.716926	427.283074	3.274431	0.438402	541
CCFEE5311_015927-T1	CCFEE5311_017762-T1	12434	0.020314	0.273985	0.074144	4767.897348	1268.102652	3.174614	0.220824	2047
CCFEE5311_002877-T1	CCFEE5311_009506-T1	12875	0.031077	0.205022	0.151576	4395.472309	1700.527691	2.792987	0.238800	2045
CCFEE5311_004127-T1	CCFEE5311_008260-T1	13119	0.021492	0.425248	0.050540	4863.119211	1388.880789	2.709274	0.333559	2090
CCFEE5311_005420-T1	CCFEE5311_016329-T1	10664	0.016721	0.235070	0.071134	3666.672891	1520.327109	7.742215	0.242161	1816
CCFEE5311_006991-T1	CCFEE5311_011694-T1	5599	0.047831	0.378034	0.126525	2098.985992	670.014008	2.085590	0.383189	928
CCFEE5311_007416-T1	CCFEE5311_017412-T1	8025	0.017360	0.314374	0.055221	2807.925465	999.074535	2.909855	0.285917	1333
CCFEE5311_009036-T1	CCFEE5311_010592-T1	7501	0.058095	0.410241	0.141612	2807.523667	1062.476333	3.471650	0.464322	1294
CCFEE5311_009370-T1	CCFEE5311_014067-T1	6554	0.023287	0.317781	0.073281	2428.801810	688.198190	2.475871	0.264924	1063
CCFEE5311_009551-T1	CCFEE5311_012204-T1	6806	0.031240	0.207306	0.150694	2349.012806	839.987194	4.604993	0.232847	1063
CCFEE5311_002488-T1	CCFEE5311_008289-T1	14573	0.016065	0.182444	0.088055	5129.087612	1806.912388	3.354686	0.178227	2364
CCFEE5311_011317-T1	CCFEE5311_015307-T1	7957	0.033505	0.258169	0.129779	2721.427927	1103.572073	4.245625	0.294972	1277
CCFEE5311_011800-T1	CCFEE5311_013349-T1	6209	0.061415	0.295720	0.207680	2292.056425	878.943575	3.969291	0.379080	1089
CCFEE5311_000356-T1	CCFEE5311_016668-T1	3463	0.013761	0.257825	0.053375	1101.854160	425.145840	9.358014	0.245140	509
CCFEE5311_002726-T1	CCFEE5311_005296-T1	14707	0.035416	0.230179	0.153864	5281.159303	1858.840697	3.263646	0.258364	2381
CCFEE5311_003497-T1	CCFEE5311_010935-T1	13825	0.020079	0.288109	0.069692	5152.512886	1645.487114	3.674952	0.254870	2267
CCFEE5311_000895-T1	CCFEE5311_017100-T1	5133	0.017152	0.179450	0.095583	1887.608946	533.391054	2.181870	0.158729	813
CCFEE5311_000919-T1	CCFEE5311_017121-T1	4530	0.018561	0.260296	0.071308	1583.454318	501.545682	4.662795	0.230131	699
CCFEE5311_001058-T1	CCFEE5311_008023-T1	5472	0.015647	0.366049	0.042746	1906.186598	547.813402	4.382128	0.281605	818
CCFEE5311_001111-T1	CCFEE5311_007897-T1	7150	0.030844	0.249201	0.123771	2496.589983	974.410017	4.126419	0.276429	1165
CCFEE5311_001309-T1	CCFEE5311_001698-T1	5117	0.030732	0.386647	0.079482	1959.720216	545.279784	1.790024	0.324618	853
CCFEE5311_001192-T1	CCFEE5311_016444-T1	9505	0.007063	0.444477	0.015890	3414.382634	932.617366	2.246239	0.302721	1451
CCFEE5311_001313-T1	CCFEE5311_001702-T1	7481	0.004788	0.358138	0.013370	2723.594192	762.405808	2.602760	0.246204	1166
CCFEE5311_004418-T1	CCFEE5311_007527-T1	15334	0.034519	0.200964	0.171767	5267.059542	2073.940458	3.336568	0.244626	2456
CCFEE5311_001472-T1	CCFEE5311_013405-T1	4544	0.022300	0.340671	0.065461	1640.329327	525.670673	3.478026	0.298699	722
CCFEE5311_001817-T1	CCFEE5311_013054-T1	4403	0.045767	0.372513	0.122860	1657.172824	571.827176	3.039287	0.388771	743
CCFEE5311_001866-T1	CCFEE5311_015226-T1	4427	0.022985	0.342954	0.067020	1612.540994	475.459006	1.839540	0.287535	746
CCFEE5311_012043-T1	CCFEE5311_015267-T1	13162	0.028908	0.274326	0.105379	4556.809416	1500.190584	2.139531	0.269079	2019
CCFEE5311_001060-T1	CCFEE5311_008445-T1	9479	0.027294	0.437126	0.062441	3517.166722	1204.833278	4.022886	0.395593	1716
CCFEE5311_001347-T1	CCFEE5311_003225-T1	8791	0.056063	0.228068	0.245816	3108.587669	1292.412331	3.676401	0.319724	1477
CCFEE5311_002733-T1	CCFEE5311_012280-T1	4024	0.026422	0.172566	0.153111	1368.080551	491.919449	2.438377	0.195219	620
