SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
NAJQ01_003936-T1	NAJQ01_005824-T1	180	0.051539	0.116408	0.442747	638.705868	189.294132	3.698910	0.199107	994
NAJQ01_009901-T1	NAJQ01_010542-T1	1147	0.048822	0.134005	0.364326	424.061977	157.938023	3.863690	0.215814	198
NAJQ01_001325-T1	NAJQ01_001787-T1	-49	0.079953	0.145837	0.548240	158.529499	45.470501	2.072641	0.283915	265
NAJQ01_004340-T1	NAJQ01_013013-T1	4025	0.009477	0.065253	0.145237	1274.418247	501.581753	1.769541	0.075688	615
NAJQ01_007091-T1	NAJQ01_012470-T1	1535	0.025225	0.064451	0.391374	544.614969	205.385031	5.762749	0.107900	281
NAJQ01_001989-T1	NAJQ01_003002-T1	1177	0.005623	0.105562	0.053268	446.281668	96.718332	1.559849	0.070272	181
NAJQ01_003594-T1	NAJQ01_009147-T1	3157	0.019792	0.155579	0.127216	1246.642336	352.357664	4.358545	0.149143	722
NAJQ01_002894-T1	NAJQ01_017458-T1	1559	0.017391	0.140041	0.124186	584.138325	135.861675	7.632651	0.121605	240
NAJQ01_008066-T1	NAJQ01_008479-T1	2891	0.005667	0.149531	0.037901	1062.832747	203.167253	2.373246	0.086264	422
NAJQ01_000559-T1	NAJQ01_009812-T1	2005	0.009916	0.126765	0.078221	812.338312	138.661688	4.006774	0.080859	317
NAJQ01_013923-T1	NAJQ01_014994-T1	855	0.023489	0.248305	0.094599	345.967369	113.032631	2.472574	0.236557	180
NAJQ01_000313-T1	NAJQ01_003718-T1	4266	0.021117	0.160611	0.131482	1633.363359	373.636641	2.514303	0.141259	669
NAJQ01_010101-T1	NAJQ01_014432-T1	1564	0.040403	0.287137	0.140710	682.947768	130.052232	2.903755	0.239617	290
NAJQ01_000125-T1	NAJQ01_009942-T1	2121	0.023866	0.113135	0.210947	790.968599	238.031401	22.315476	0.133547	349
NAJQ01_005241-T1	NAJQ01_014593-T1	3424	0.022188	0.223435	0.099305	1296.038968	317.961032	1.909321	0.185503	551
NAJQ01_003789-T1	NAJQ01_012173-T1	3018	0.040391	0.177284	0.227832	1161.404576	326.595424	1.741559	0.211312	497
NAJQ01_011692-T1	NAJQ01_014038-T1	125	0.645976	3.251033	0.198699	401.259249	111.740751	1.707809	3.640214	251
NAJQ01_000238-T1	NAJQ01_001504-T1	6545	0.035551	0.154823	0.229626	2390.350450	930.649550	4.250124	0.206925	1218
NAJQ01_000244-T1	NAJQ01_001510-T1	2224	0.041284	0.233668	0.176679	981.382682	272.617318	1.393724	0.249324	545
NAJQ01_001641-T1	NAJQ01_003574-T1	3604	0.045360	0.060320	0.752002	1308.458050	530.541950	3.750597	0.149028	654
NAJQ01_000116-T1	NAJQ01_000293-T1	2107	0.034187	0.240333	0.142250	823.606542	250.393458	2.202068	0.246746	404
NAJQ01_000359-T1	NAJQ01_004599-T1	2764	0.010652	0.155426	0.068536	1040.378733	297.621267	3.274462	0.128566	495
NAJQ01_005422-T1	NAJQ01_010643-T1	2328	0.030667	0.113897	0.269254	931.891380	241.108620	1.362265	0.143325	444
NAJQ01_001133-T1	NAJQ01_002544-T1	4271	0.013994	0.053342	0.262353	1230.899750	647.100250	27.825081	0.082657	626
NAJQ01_017167-T1	NAJQ01_021301-T1	-72	0.837129	2.629891	0.318313	164.667881	33.332119	1.270938	3.416789	113
