SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
MUNK01_000109-T1	MUNK01_013909-T1	3062	0.015664	0.354234	0.044221	1064.618998	333.381002	2.418669	0.289209	471
MUNK01_009931-T1	MUNK01_011424-T1	3509	0.025584	0.295837	0.086479	1253.126383	504.873617	2.748029	0.309590	685
MUNK01_000293-T1	MUNK01_012843-T1	902	0.015052	0.523134	0.028773	620.894869	213.105131	2.113144	0.434633	752
MUNK01_004679-T1	MUNK01_007168-T1	5967	0.049161	0.240604	0.204324	2083.740484	790.259516	2.850796	0.305406	1003
MUNK01_000664-T1	MUNK01_001499-T1	4135	0.026202	0.192743	0.135944	1518.157160	551.842840	4.069666	0.211801	701
MUNK01_004670-T1	MUNK01_007176-T1	2152	0.160912	0.554520	0.290183	1226.558924	399.441076	2.258348	0.772816	725
MUNK01_003091-T1	MUNK01_016765-T1	6712	0.029884	0.147057	0.203215	2224.990516	1009.009484	5.681385	0.199327	1104
MUNK01_002668-T1	MUNK01_011288-T1	6262	0.080112	0.388143	0.206399	2359.758274	928.241726	2.347974	0.501218	1104
MUNK01_003580-T1	MUNK01_010135-T1	9500	0.024021	0.264551	0.090797	3194.686040	1107.313960	2.141020	0.257796	1453
MUNK01_011214-T1	MUNK01_013370-T1	7420	0.008825	0.351902	0.025078	2508.938147	968.061853	5.906498	0.313033	1161
MUNK01_001122-T1	MUNK01_013539-T1	5096	0.086919	0.300529	0.289220	1913.926282	810.073718	3.256454	0.451330	914
MUNK01_002426-T1	MUNK01_002634-T1	4012	0.048059	0.466293	0.103065	1452.926115	524.073885	3.831286	0.476779	671
MUNK01_011248-T1	MUNK01_013405-T1	7022	0.003772	0.384341	0.009814	2658.054484	536.945516	1.240390	0.203189	1065
MUNK01_006190-T1	MUNK01_010172-T1	8119	0.022960	0.274960	0.083501	2700.596784	1139.403216	4.881849	0.293199	1280
MUNK01_001403-T1	MUNK01_003924-T1	1998	0.069680	0.331759	0.210034	707.936272	321.063728	3.454467	0.454358	343
MUNK01_007501-T1	MUNK01_007776-T1	12212	0.002963	0.280579	0.010560	4396.313580	1177.686420	2.205630	0.184854	1863
MUNK01_002397-T1	MUNK01_003965-T1	9349	0.020544	0.234510	0.087603	3135.887255	1331.112745	3.018380	0.252909	1491
MUNK01_017476-T1	MUNK01_017851-T1	10968	0.015836	0.272531	0.058106	3926.739410	1425.260590	3.087351	0.252584	1804
MUNK01_006211-T1	MUNK01_006653-T1	8192	0.041391	0.280951	0.147326	2684.936737	1218.063263	3.635590	0.348462	1311
MUNK01_001762-T1	MUNK01_017103-T1	789	0.194073	0.934738	0.207623	458.072364	168.927636	2.727627	1.180873	267
MUNK01_008913-T1	MUNK01_015556-T1	12084	0.008506	0.317822	0.026764	4079.520831	1404.479169	2.501856	0.263171	1828
MUNK01_005014-T1	MUNK01_009160-T1	6681	0.010018	0.318166	0.031487	2211.375882	842.624118	5.174677	0.285116	1020
MUNK01_007229-T1	MUNK01_010904-T1	4246	0.181971	0.564405	0.322412	2192.830500	708.169500	2.844374	0.825983	1104
MUNK01_000658-T1	MUNK01_001493-T1	13083	0.031051	0.235121	0.132065	4344.081777	1928.918223	3.904306	0.281405	2099
MUNK01_006774-T1	MUNK01_016947-T1	4707	0.016600	0.256332	0.064759	1889.654277	768.345723	2.955948	0.257697	1370
MUNK01_015576-T1	MUNK01_017568-T1	7798	0.031133	0.419532	0.074209	2821.108292	1012.891708	2.155309	0.401228	1281
MUNK01_012229-T1	MUNK01_017418-T1	6626	0.008077	0.309468	0.026100	2365.672958	763.327042	3.776394	0.244807	1075
MUNK01_000302-T1	MUNK01_012835-T1	6559	0.033373	0.348375	0.095797	2248.743920	904.256080	2.925602	0.371140	1051
MUNK01_000653-T1	MUNK01_001488-T1	13256	0.018556	0.248921	0.074544	4213.226046	1804.773954	2.597427	0.262924	2033
MUNK01_008137-T1	MUNK01_008641-T1	3994	0.133286	0.377098	0.353451	1954.688932	730.311068	2.298107	0.598805	1134
MUNK01_006633-T1	MUNK01_006792-T1	4803	0.038106	0.286827	0.132854	1711.297876	598.702124	3.070080	0.307707	777
MUNK01_001677-T1	MUNK01_007361-T1	3632	0.026394	0.212221	0.124369	1311.528451	509.471549	2.888390	0.235151	702
MUNK01_000458-T1	MUNK01_016994-T1	1234	0.044502	0.542497	0.082032	532.421633	169.578367	1.501802	0.494400	309
MUNK01_011441-T1	MUNK01_013628-T1	12177	0.048925	0.203832	0.240027	4557.792410	1742.207590	2.406046	0.275290	2372
MUNK01_013830-T1	MUNK01_017760-T1	13130	0.010660	0.379982	0.028054	4724.673809	1488.326191	2.461497	0.297394	2071
MUNK01_003277-T1	MUNK01_015339-T1	12752	0.023617	0.258457	0.091378	4220.838101	1824.161899	5.641018	0.283450	2018
MUNK01_001428-T1	MUNK01_003941-T1	11943	0.025422	0.284821	0.089254	4020.241972	1775.758028	4.646467	0.314686	1936
MUNK01_004844-T1	MUNK01_010852-T1	5264	0.068357	0.327910	0.208462	1926.017769	818.982231	3.311494	0.437386	921
MUNK01_008996-T1	MUNK01_016062-T1	4222	0.060004	0.257914	0.232653	1569.191527	620.808473	4.409447	0.348320	730
MUNK01_009492-T1	MUNK01_010643-T1	4821	0.004878	0.225474	0.021635	1851.817054	824.182946	9.955274	0.218459	1436
MUNK01_001576-T1	MUNK01_012751-T1	7402	0.006130	0.388687	0.015771	2675.835446	798.164554	2.643202	0.282072	1161
MUNK01_004452-T1	MUNK01_005412-T1	15282	0.013536	0.303849	0.044548	5182.509103	1972.490897	3.392206	0.280708	2385
MUNK01_002885-T1	MUNK01_009487-T1	8749	0.018063	0.261545	0.069064	2970.879006	1175.120994	2.719207	0.261224	1384
MUNK01_003695-T1	MUNK01_006599-T1	11118	0.008717	0.312245	0.027917	3694.383277	1486.616723	4.175983	0.287430	1727
MUNK01_009380-T1	MUNK01_018217-T1	5771	0.014656	0.332578	0.044069	1964.036786	624.963214	2.119932	0.274200	865
MUNK01_001616-T1	MUNK01_006018-T1	4553	0.025327	0.375941	0.067371	1606.515716	577.484284	2.327599	0.354106	728
MUNK01_006983-T1	MUNK01_009068-T1	6109	0.119778	0.294131	0.407226	2473.610252	1051.389748	2.871045	0.515345	1214
MUNK01_012417-T1	MUNK01_014955-T1	5718	0.016454	0.209164	0.078664	1782.173799	734.826201	3.195372	0.218143	840
MUNK01_002728-T1	MUNK01_015989-T1	6314	0.021787	0.299368	0.072777	2097.331238	851.668762	3.690773	0.305857	986
MUNK01_012975-T1	MUNK01_013566-T1	4050	0.045762	0.253522	0.180504	1327.002560	583.997440	3.064008	0.327758	641
MUNK01_002389-T1	MUNK01_003972-T1	1102	0.002227	0.612718	0.003635	449.739842	78.260158	4.280250	0.278143	176
MUNK01_007627-T1	MUNK01_010876-T1	6417	0.021160	0.310553	0.068137	2182.980486	892.019514	3.565058	0.315328	1027
MUNK01_002327-T1	MUNK01_002623-T1	11049	0.033921	0.269846	0.125706	4298.101774	1860.898226	4.258938	0.315612	2884
MUNK01_010928-T1	MUNK01_016297-T1	4065	0.027852	0.283262	0.098328	1391.408299	540.591701	3.150341	0.297955	650
MUNK01_009423-T1	MUNK01_011675-T1	5567	0.008079	0.404435	0.019977	1929.139691	611.860309	2.681512	0.310559	853
MUNK01_003217-T1	MUNK01_004647-T1	6331	0.018815	0.359050	0.052402	2449.832453	724.167547	2.373998	0.289326	1065
MUNK01_000563-T1	MUNK01_015699-T1	9063	0.022778	0.372881	0.061087	3053.958656	1113.041344	2.576611	0.348881	1394
MUNK01_005446-T1	MUNK01_016500-T1	9565	0.016231	0.266479	0.060908	3110.499319	1305.500681	2.910327	0.270635	1481
MUNK01_010285-T1	MUNK01_013817-T1	7955	0.014382	0.285315	0.050407	2738.749160	987.250840	2.806537	0.258507	1300
MUNK01_003278-T1	MUNK01_015338-T1	5895	0.035694	0.398849	0.089493	2015.823869	744.176131	3.404497	0.400834	929
MUNK01_008036-T1	MUNK01_010291-T1	9772	0.033776	0.310521	0.108774	3397.380452	1411.619548	4.959250	0.345033	1604
MUNK01_002345-T1	MUNK01_009951-T1	3624	0.005015	0.318910	0.015724	1300.962084	397.037916	3.587250	0.235235	566
MUNK01_000445-T1	MUNK01_001330-T1	9590	0.020580	0.339997	0.060530	3391.418667	1171.581333	2.080563	0.307778	1552
MUNK01_011754-T1	MUNK01_015242-T1	9663	0.022658	0.159306	0.142230	3318.907365	1562.092635	3.654171	0.199171	1627
MUNK01_009929-T1	MUNK01_011423-T1	9685	0.025139	0.311306	0.080755	3520.250674	1405.749326	2.718078	0.320411	1844
MUNK01_009266-T1	MUNK01_014190-T1	6741	0.015891	0.277645	0.057237	2364.405422	833.594578	2.795014	0.252362	1066
MUNK01_011717-T1	MUNK01_016278-T1	1123	0.004929	0.334437	0.014738	407.147069	150.852931	1.993497	0.282030	215
MUNK01_012178-T1	MUNK01_017324-T1	1774	0.016377	0.203400	0.080517	617.576209	249.423791	3.296798	0.210543	307
MUNK01_001733-T1	MUNK01_013468-T1	6201	0.049534	0.223800	0.221331	2197.206847	979.793153	4.765585	0.309834	1068
MUNK01_005615-T1	MUNK01_013555-T1	1135	0.053483	0.405341	0.131945	452.372182	156.627818	1.629409	0.431930	237
MUNK01_001110-T1	MUNK01_013552-T1	3429	0.104841	0.375487	0.279212	1373.177289	477.822711	1.565287	0.524119	629
MUNK01_004114-T1	MUNK01_016506-T1	7599	0.109806	0.317029	0.346358	3004.848548	1237.151452	3.450424	0.510723	1444
MUNK01_008955-T1	MUNK01_012500-T1	4038	0.150306	0.344595	0.436181	1762.945386	733.054614	3.375387	0.622101	837
MUNK01_009540-T1	MUNK01_018072-T1	3555	0.012393	0.302984	0.040903	1140.052492	467.947508	3.736363	0.290876	538
MUNK01_010003-T1	MUNK01_010562-T1	12334	0.006490	0.442204	0.014677	4333.081508	1423.918492	2.187962	0.342775	1923
MUNK01_000206-T1	MUNK01_013241-T1	8277	0.015359	0.235609	0.065188	2731.107795	1108.892205	3.457835	0.236884	1280
MUNK01_009298-T1	MUNK01_010839-T1	20381	0.016437	0.384781	0.042718	6953.507500	2649.492500	3.640401	0.354192	3233
MUNK01_002185-T1	MUNK01_012793-T1	1128	0.134546	0.364483	0.369142	523.591794	154.408206	2.612207	0.560737	229
MUNK01_003819-T1	MUNK01_004433-T1	3628	0.009663	0.204215	0.047316	1198.782940	580.217060	11.241604	0.219347	673
MUNK01_006542-T1	MUNK01_008781-T1	5998	0.019593	0.280261	0.069909	2000.590364	738.409636	2.661437	0.269599	934
MUNK01_002641-T1	MUNK01_006582-T1	6698	0.011145	0.342113	0.032576	2276.085378	777.914622	4.291835	0.286347	1021
MUNK01_013131-T1	MUNK01_015879-T1	2555	0.026112	0.130039	0.200802	896.504942	303.495058	1.777489	0.157190	400
MUNK01_011844-T1	MUNK01_014467-T1	7218	0.022087	0.184453	0.119742	2483.240867	1056.759133	3.894997	0.211669	1248
MUNK01_004841-T1	MUNK01_010855-T1	2075	0.084629	0.390859	0.216521	749.741055	318.258945	4.229809	0.527653	358
MUNK01_001876-T1	MUNK01_001954-T1	7637	0.026924	0.250491	0.107483	2589.285711	1061.714289	5.772327	0.275811	1217
MUNK01_006478-T1	MUNK01_013514-T1	9445	0.040357	0.267727	0.150740	3642.077466	1427.922534	3.739948	0.313182	2228
MUNK01_000207-T1	MUNK01_013243-T1	12163	0.039260	0.248565	0.157945	4149.148975	1724.851025	3.403169	0.302161	1962
MUNK01_003262-T1	MUNK01_015356-T1	5578	0.027252	0.215477	0.126474	1888.563465	787.436535	3.256667	0.247917	892
MUNK01_013171-T1	MUNK01_015837-T1	4796	0.046652	0.287153	0.162463	1719.722883	629.277117	2.691386	0.333240	785
MUNK01_011484-T1	MUNK01_013613-T1	6213	0.030914	0.167410	0.184660	2057.476122	774.523878	3.912396	0.204732	944
MUNK01_006883-T1	MUNK01_012942-T1	5501	0.088899	0.360581	0.246543	2158.793650	871.206350	2.693043	0.501044	1048
MUNK01_001424-T1	MUNK01_003937-T1	3240	0.023486	0.404220	0.058101	1041.243422	419.756578	5.379170	0.398621	487
MUNK01_000209-T1	MUNK01_013245-T1	7153	0.028438	0.277499	0.102479	2402.772846	1020.227154	4.296614	0.308012	1141
MUNK01_010429-T1	MUNK01_011816-T1	7419	0.008177	0.322541	0.025350	2644.052801	778.947199	2.440204	0.239143	1165
MUNK01_006165-T1	MUNK01_018253-T1	6337	0.024975	0.337230	0.074061	2192.217262	810.782738	2.254030	0.327844	1005
MUNK01_008968-T1	MUNK01_012025-T1	6393	0.072351	0.430968	0.167881	2445.785170	887.214830	1.569550	0.503436	1167
MUNK01_000350-T1	MUNK01_003657-T1	7203	0.014981	0.285015	0.052560	2438.795243	876.204757	2.226613	0.259064	1114
MUNK01_007502-T1	MUNK01_007777-T1	13597	0.001676	0.290793	0.005765	4778.013304	1446.986696	3.729494	0.206643	2098
MUNK01_015223-T1	MUNK01_016612-T1	3840	0.044654	0.239268	0.186627	1294.968442	595.031558	4.123242	0.317774	634
MUNK01_009827-T1	MUNK01_013572-T1	2159	0.168200	0.927814	0.181286	1125.847345	332.152655	1.413039	1.023752	567
MUNK01_001824-T1	MUNK01_008600-T1	8995	0.022462	0.242209	0.092739	3188.452845	1251.547155	3.269170	0.253213	1513
MUNK01_006954-T1	MUNK01_009031-T1	4790	0.033435	0.368767	0.090666	1703.282067	654.717933	2.284369	0.379627	822
MUNK01_002724-T1	MUNK01_015991-T1	6336	0.049929	0.341553	0.146182	2362.956776	859.043224	3.215494	0.383043	1082
MUNK01_003381-T1	MUNK01_017782-T1	4118	0.030791	0.326534	0.094297	1658.944956	645.055044	3.123258	0.340773	1101
MUNK01_012032-T1	MUNK01_015217-T1	2117	0.036684	0.193692	0.189392	769.514175	280.485825	3.329709	0.235875	369
MUNK01_012051-T1	MUNK01_015198-T1	6625	0.015698	0.256194	0.061273	2285.803957	846.196043	2.616645	0.242023	1044
MUNK01_012055-T1	MUNK01_015194-T1	8081	0.012844	0.391245	0.032827	3129.045378	782.954622	2.024273	0.265732	1304
MUNK01_000462-T1	MUNK01_016997-T1	3842	0.071608	0.294136	0.243453	1456.315230	571.684770	3.519040	0.403014	681
MUNK01_009199-T1	MUNK01_015506-T1	5604	0.016594	0.289159	0.057388	1830.569368	734.430632	5.685672	0.283911	855
MUNK01_009233-T1	MUNK01_015542-T1	2865	0.015854	0.214948	0.073756	956.243802	315.756198	2.189429	0.195828	424
MUNK01_002018-T1	MUNK01_015626-T1	7018	0.018817	0.211019	0.089174	2290.759882	949.240118	7.328191	0.225383	1089
MUNK01_009831-T1	MUNK01_011089-T1	1246	0.095851	0.710710	0.134867	537.516061	176.483939	2.408338	0.743489	254
MUNK01_007792-T1	MUNK01_012615-T1	7000	0.013088	0.341275	0.038351	2698.421581	784.578419	2.170419	0.261047	1180
MUNK01_006299-T1	MUNK01_016924-T1	11299	0.026743	0.228785	0.116891	3809.980471	1563.019529	3.712001	0.256552	1793
MUNK01_000256-T1	MUNK01_018099-T1	6480	0.020929	0.717813	0.029157	2230.153331	739.846669	3.401554	0.583582	994
MUNK01_005547-T1	MUNK01_013341-T1	5166	0.034212	0.345757	0.098949	1794.274270	659.725730	1.877526	0.353901	832
MUNK01_002020-T1	MUNK01_015628-T1	9453	0.010052	0.361225	0.027827	3239.006363	1200.993637	3.257992	0.315127	1510
MUNK01_003488-T1	MUNK01_012269-T1	758	0.132337	0.400260	0.330629	349.727320	79.272680	3.451409	0.545536	145
MUNK01_002654-T1	MUNK01_006594-T1	1886	0.036154	0.255181	0.141681	671.328346	279.671654	2.944277	0.301698	317
MUNK01_015797-T1	MUNK01_016894-T1	3620	0.014127	0.248999	0.056733	1143.738888	461.261112	3.284443	0.244879	536
MUNK01_002279-T1	MUNK01_012136-T1	3004	0.000859	0.132866	0.006464	1165.133368	175.866632	1.196341	0.054513	447
MUNK01_004735-T1	MUNK01_007337-T1	4453	0.141618	0.472988	0.299410	1922.097998	714.902002	1.967814	0.694360	928
MUNK01_006563-T1	MUNK01_008794-T1	5011	0.016540	0.245465	0.067383	1701.811210	620.188790	3.487032	0.233053	798
MUNK01_011036-T1	MUNK01_014054-T1	3118	0.132917	0.471600	0.281842	1328.017194	543.982806	2.846674	0.694002	709
MUNK01_002661-T1	MUNK01_011294-T1	6179	0.188924	0.682032	0.277001	2986.781566	1102.218434	1.442314	0.965534	1473
MUNK01_009505-T1	MUNK01_010657-T1	3828	0.023072	0.283703	0.081323	1365.578082	482.421918	2.891342	0.273329	635
MUNK01_001043-T1	MUNK01_015480-T1	20885	0.008201	0.373443	0.021962	7356.634023	2402.365977	2.458708	0.294338	3253
MUNK01_002672-T1	MUNK01_011284-T1	4100	0.060926	0.370195	0.164579	1506.406264	533.593736	3.085724	0.425461	684
